turno,operador_id,maquina_id,producto_id,cantidad_producida,unidades_defectuosas,eficiencia_porcentual
3,4,2,1,103,1,81.40071229451256
3,7,5,11,106,1,91.30911875527478
2,15,7,10,95,1,79.6165007200865
1,18,10,4,103,4,87.2669082472616
2,12,10,6,101,3,83.70603583378644
2,17,1,10,97,1,85.2164809099024
2,1,10,7,96,3,86.51616979277424
2,11,9,7,81,0,90.71366747563152
2,1,1,8,106,0,81.65407849341237
2,15,1,14,106,2,79.34773303517849
2,10,10,10,107,1,87.20361130548
1,7,8,8,99,0,80.5418035111854
3,2,6,8,107,2,87.34414072561005
2,10,6,8,101,1,84.35336465664166
2,4,9,12,96,0,80.47783238097517
2,12,4,15,99,0,79.90300091087077
2,19,8,8,90,1,88.85000506578663
2,11,4,6,93,2,84.16105571737386
2,8,2,9,95,4,84.97
3,18,8,3,108,4,84.70178834081726
3,11,7,6,98,3,80.87137047283855
2,11,4,5,94,2,86.21146282263435
3,13,9,15,107,3,87.05279684383385
1,3,9,15,94,1,85.36449402317895
2,12,8,8,93,3,82.84746826690893
1,3,1,4,93,1,79.33179711942918
1,10,7,4,96,1,85.8171040655314
2,17,5,13,93,0,80.51418402228259
3,2,7,15,104,2,82.0872626215625
1,17,9,10,97,3,84.80567220137071
2,16,2,11,97,3,86.9162278575072
1,2,4,10,100,4,92.76038878918703
1,20,4,13,84,2,81.44065698584514
1,6,2,5,110,2,82.21631826752422
1,10,3,11,108,3,75.71191721707933
3,10,8,13,93,2,85.69192063555185
1,8,9,13,121,3,79.03063390659321
1,1,6,15,88,2,89.3313268068773
1,13,10,6,113,4,86.49240328302973
3,9,2,15,86,2,78.96480469301652
1,10,2,11,100,3,84.79610498303272
1,15,7,4,92,3,85.12477573122806
3,5,8,2,107,5,90.87095687549548
3,16,8,12,107,2,87.21665618878396
3,13,6,12,115,3,84.97
1,20,10,14,84,2,84.97
3,18,8,2,94,0,79.451579082362
3,11,1,12,108,5,93.60115393310832
1,9,9,3,92,2,85.31531969229253
3,16,1,2,107,3,78.47811608281785
1,2,3,1,106,0,81.28630690402802
2,2,9,14,85,0,87.40105849556238
3,12,5,8,110,3,91.53376106348458
2,8,9,12,103,0,80.92430469951455
1,9,9,5,98,1,82.54946318917875
3,12,6,10,112,4,79.86804305420424
1,9,1,1,114,1,81.8735301447244
2,10,10,13,94,2,81.310610872997
1,2,7,9,92,3,81.63944615915044
3,16,6,8,94,1,86.18409341450165
3,20,9,4,104,1,80.76393799886667
2,7,7,8,91,0,85.20880332528907
1,2,4,13,90,1,93.01266704937136
3,1,7,12,106,1,78.74096098126579
2,19,2,13,104,0,88.89588370541577
3,4,6,10,108,3,78.89178325119164
3,2,6,7,110,1,84.09376517053332
1,14,2,11,102,4,86.6860802934041
3,2,4,15,99,2,85.30774693622648
1,15,8,11,104,2,87.90782925737012
3,12,8,7,102,2,80.1922198892789
2,5,8,1,86,4,85.03366244286536
3,20,8,6,96,3,80.41774319578272
1,7,1,13,94,2,85.61066442918704
1,10,2,4,98,2,90.13251389466464
2,14,4,14,102,0,91.22012926266903
3,14,9,10,99,2,88.82401736113044
3,5,3,10,105,4,86.85286145117563
2,18,6,10,122,2,86.40496554924
3,14,7,11,103,4,85.88911783065733
3,2,8,12,94,1,90.36436852201108
1,12,7,2,96,2,74.82940388389524
3,6,3,10,98,2,85.19885035797445
3,4,6,7,113,1,86.07166767292854
2,13,5,9,112,2,79.80137015444645
2,4,10,13,111,0,72.70981510088541
1,14,4,5,115,1,81.18811110245403
3,16,1,8,93,3,91.749135857497
3,4,7,5,86,3,97.3727013277656
3,1,8,14,97,4,73.07241281608245
1,13,2,7,104,2,88.32935011687883
1,4,7,7,105,1,83.90599811744978
2,20,6,9,105,0,82.91902738256611
1,18,5,3,80,0,78.99372785815524
3,6,4,14,92,2,85.28522564864073
3,3,2,1,95,4,73.08241056116778
1,13,10,2,101,4,89.36030073963829
3,16,6,12,84,3,95.17238800027428
3,5,5,6,106,2,82.17235805000894
1,4,2,14,86,1,77.24417434280201
1,8,10,10,86,3,77.67238043270342
3,19,7,10,93,3,82.87787153206443
3,14,6,12,101,2,78.2021383547471
3,7,9,13,106,3,84.66438130681398
2,14,10,14,108,2,87.3218255850209
2,6,5,9,91,1,83.0473054494478
2,12,9,3,111,4,84.179988212653
1,16,9,10,89,3,88.22350075120076
2,17,1,2,119,3,83.039015706284
1,13,5,11,107,2,91.79721574241432
1,14,9,1,106,0,88.70354921509507
2,7,7,2,107,3,86.06830534252406
2,14,6,3,100,3,84.89503065753982
2,15,6,7,90,3,86.50414553165577
3,12,7,2,93,2,90.4089641588983
2,17,1,13,105,0,84.55022417960443
3,9,4,5,108,0,88.93679832442527
1,15,1,2,110,3,88.26776066545716
3,12,6,7,84,4,77.4156391219043
2,2,4,10,106,0,91.6806690627559
1,5,1,8,114,2,84.11784675515499
1,13,9,8,86,1,84.97
1,20,4,13,102,4,89.94590711418215
3,8,6,15,98,1,84.71875849954638
2,14,7,8,95,1,80.0611161846432
1,15,8,10,105,3,88.99883890251427
1,11,9,15,109,1,84.43038996978409
1,1,9,9,90,2,84.60827489907483
3,3,8,1,103,1,87.11498415157892
3,17,10,12,114,3,76.24774790580761
2,19,3,1,121,1,87.05906681836785
3,14,2,14,98,1,89.20522891935789
1,8,5,15,88,1,85.76477821060814
2,13,1,14,95,2,85.50483663180015
1,20,3,14,81,2,92.47592055014135
1,3,1,10,104,2,77.41464489890255
3,5,3,2,98,5,88.12271744311687
2,9,4,11,112,0,86.78422316349538
3,6,7,15,100,1,77.99734215399701
3,2,5,6,95,1,84.9451110102418
2,13,5,14,105,5,89.11982095760642
1,5,1,1,95,1,88.05560303760149
1,8,8,5,98,2,84.2988510745316
2,1,4,15,102,3,81.81404380887237
1,20,10,5,97,3,85.63108638496838
2,12,5,15,104,1,84.2564827914834
2,11,2,15,94,2,87.01706934731877
3,7,1,4,108,3,81.627522495387
2,15,9,11,92,1,84.25944734949738
3,11,2,5,93,1,89.83466652166828
1,16,6,12,101,3,91.04007517313988
1,3,1,1,115,1,80.16407864371446
1,20,1,11,92,3,78.76296028335634
1,14,9,11,99,2,74.31844809187369
3,3,4,6,99,1,83.14255683993234
1,1,9,7,97,3,93.68827058215966
2,15,5,8,99,2,87.75088832996225
2,1,7,15,109,0,89.34843714648476
2,17,1,2,118,4,85.28629259681163
3,2,6,15,106,1,88.28221829101186
1,20,8,15,90,3,82.59479174415198
1,6,1,7,94,1,85.86462274731379
1,8,9,6,112,2,84.97
3,16,3,9,100,3,91.54585486675856
2,19,1,15,106,0,87.38388704001358
2,1,1,8,90,4,84.90341749218344
1,3,6,14,91,1,79.94667987158
2,3,6,11,93,3,83.55130286088121
2,5,1,14,100,2,87.32597625701722
3,12,3,15,113,1,83.7495760369073
3,12,7,4,97,1,79.84257215072188
3,20,10,14,102,0,88.1044585217752
3,13,3,13,93,1,84.76472518850807
1,20,3,9,91,5,81.2591695617966
3,9,3,1,102,2,74.0655439257362
2,7,7,11,104,4,85.19276904692482
1,4,4,6,90,5,83.02297091757114
2,19,4,8,97,1,97.53726716962902
2,19,3,11,99,0,91.8925783013056
2,6,10,11,105,2,79.41618179570432
3,13,9,4,89,1,90.97718453098295
3,11,2,2,92,1,85.48362622084917
1,13,4,11,100,5,90.21459513770692
1,13,8,2,94,1,98.54860682270244
3,20,6,10,85,1,82.40582022833493
2,15,7,1,117,0,82.78708500419418
1,13,7,5,96,3,80.26932417005258
3,11,2,13,105,2,89.33359455937155
3,19,4,6,102,4,89.09568586176242
3,8,10,4,102,1,93.83334018407406
2,20,10,4,101,1,84.97
3,8,6,5,97,1,77.91307279548566
3,10,3,14,93,4,92.48160386550292
3,16,9,15,87,3,86.60722125160223
3,19,4,5,89,4,83.73306909682336
1,11,10,14,101,2,80.47340739059888
1,13,2,14,88,4,89.70653013134836
3,9,6,14,104,1,78.03417477922142
2,20,1,14,103,2,94.10002209335592
1,19,6,9,103,0,84.90244704785809
3,16,10,8,100,3,73.98026401135755
1,7,1,9,95,2,86.8566283261895
1,19,8,13,97,4,86.2593084231122
2,12,5,14,115,0,84.04073184581732
3,15,6,3,90,2,94.05508602068328
3,14,2,14,89,3,90.4336074215689
2,11,2,3,73,2,78.20672378919247
2,10,9,1,78,1,88.02434096020902
3,11,3,14,102,1,84.97
3,6,6,10,90,4,82.69432421236651
2,2,10,13,110,0,84.97
1,11,5,6,86,3,84.83779912401873
1,19,4,4,113,0,77.47083625811479
2,6,10,11,85,0,83.21256432026553
1,14,2,15,107,1,85.19044234876039
2,20,8,15,98,3,90.67283834374842
1,6,10,14,94,2,81.79228672534377
1,17,7,8,91,3,85.37263279212436
3,10,2,2,116,2,80.25739958985503
3,1,6,11,98,2,81.21005126237432
1,3,8,2,99,4,81.10522208284856
1,8,7,7,95,2,82.4280375411569
3,8,1,13,104,2,85.68315735790618
3,20,5,15,108,0,87.4624807985582
3,15,2,5,98,3,89.74599656690451
2,7,6,13,101,3,78.63727747608678
1,11,7,1,103,1,87.00195209395766
3,7,7,7,89,2,77.51556441230503
1,4,3,7,116,3,71.56626179927257
2,12,7,10,104,0,86.85874194356529
2,6,5,6,101,3,84.97
3,14,8,4,96,1,90.09255531452344
2,12,8,12,95,0,79.91097930528925
1,11,7,13,104,1,82.76249867858887
3,19,6,8,112,1,87.03283059828095
1,5,2,12,109,1,83.40542979265564
1,14,6,11,106,3,83.60772755545247
2,16,9,2,102,2,86.60146261117099
2,13,2,2,98,1,90.01433137612847
2,20,1,2,92,4,91.75716756818122
2,4,5,3,107,4,88.73233718862294
2,11,6,6,81,3,80.69368475946294
3,17,3,1,120,3,79.5186146127097
1,7,8,11,101,2,99.0751767226028
1,14,7,2,101,0,82.64300319691166
1,11,2,10,109,2,83.32912344862176
1,9,7,15,88,6,85.14927850352159
2,13,1,2,105,2,77.18352037311293
1,18,9,14,106,1,80.18392145081003
3,11,7,12,85,4,87.63483088951179
3,15,6,1,105,0,77.12354228555985
1,19,2,3,97,1,81.74351739329198
1,1,3,10,96,1,84.97
3,4,1,7,108,1,81.72213181098914
3,14,10,15,97,2,83.17504491611261
2,14,5,13,101,0,89.17111051280258
3,3,9,1,107,4,89.33044978514752
2,17,6,7,104,2,85.13156810891579
2,3,5,5,110,2,83.96712117889105
2,16,3,9,88,1,77.55500015641401
2,14,5,2,101,1,77.06113639107377
2,20,8,1,75,2,86.23521177498247
1,13,2,9,110,3,91.17967397217808
3,15,5,8,96,0,85.84573446617597
2,14,6,10,113,0,85.4989395599027
3,19,10,6,100,5,95.06525482814898
3,6,8,15,105,1,88.49662190530375
2,10,8,5,80,2,84.97
1,15,5,8,100,0,78.8378413971252
2,20,9,8,91,3,82.51451418564363
1,6,4,14,87,0,79.33245118062248
3,10,9,5,123,3,81.80415576091586
1,7,7,12,103,3,84.90819684892664
1,17,6,7,114,2,78.5833947522903
1,18,4,13,106,4,84.77022189825064
3,17,2,13,81,0,85.93678576428239
3,9,8,1,100,2,96.33946122911355
1,10,6,4,97,1,84.03722537236102
1,10,3,2,114,1,82.63642819380266
2,7,7,10,92,3,94.30140114520218
1,16,10,3,82,3,77.45954245305194
2,18,7,12,104,1,97.38505853073912
1,6,6,1,98,2,86.6180704754971
2,20,2,11,96,1,90.61956528120147
3,1,8,11,110,2,83.14606161158062
1,1,1,2,89,2,78.03974276619242
1,12,1,13,103,3,78.85187377471544
1,2,6,1,88,2,87.25933458758527
1,4,5,8,98,4,94.66243245198837
2,17,9,4,94,3,79.32004643093447
1,4,7,3,96,3,85.945862623636
3,11,2,1,88,1,77.40815233343365
3,4,7,2,83,2,91.08259265978184
1,1,3,3,98,0,84.97
3,7,1,3,106,4,76.68296003905441
1,18,8,6,109,2,86.16850494428353
1,9,3,10,98,0,84.97
3,3,8,8,91,2,90.6424369609871
1,8,7,6,89,4,87.12659581527497
3,19,2,2,101,4,69.65591248117943
2,4,1,2,95,1,74.12052611755998
1,18,7,14,114,0,87.36264268030358
2,20,1,7,103,4,75.52827145286018
3,11,6,1,91,1,101.57311001720272
2,14,10,1,112,2,86.0725948991258
2,18,10,7,98,4,87.81853325861387
3,16,8,9,112,1,82.23208238612968
2,3,7,5,106,1,85.87541760471973
2,15,4,11,107,2,97.54053174951626
3,4,1,1,106,2,83.7054197379822
2,5,1,5,97,0,87.87582953012735
3,17,4,11,92,2,88.92050590657222
2,7,5,1,81,2,80.09755884703904
3,16,7,10,111,1,85.59075622546943
3,14,4,15,91,3,86.64221892158861
2,16,10,12,104,0,91.64478072708296
2,7,1,9,115,1,82.77211350568169
2,9,10,4,99,2,76.56981606577466
1,4,7,9,115,4,92.04413439007742
1,11,2,2,100,3,85.74409900821631
1,2,2,7,93,4,88.81546901646551
3,12,8,15,97,2,88.24236950527686
2,12,10,12,89,6,94.45361972206294
3,4,10,13,86,3,86.76463108658828
1,18,10,2,102,0,90.57489487961494
2,7,5,12,112,2,87.52643511543955
3,1,10,4,96,0,85.12831884209069
2,13,2,6,95,0,94.45148706590687
3,6,5,14,85,1,91.22713129886574
2,6,8,2,94,1,81.46579876856052
1,12,6,2,88,1,86.34709311100396
1,8,3,2,101,4,85.31337775128824
2,19,8,3,94,4,84.6430528932625
3,5,9,5,76,2,87.5284891199717
1,18,5,9,93,5,86.77320014134573
1,5,2,6,100,1,78.02192918354294
1,10,2,15,109,2,83.29457477723369
2,1,7,15,93,1,83.71118884377357
2,10,1,12,118,2,81.9617389282877
3,5,10,14,110,3,79.61446865010535
3,12,2,9,103,3,82.85279221309531
3,7,10,10,103,3,83.55818343361295
2,9,4,15,99,1,84.65091333923712
2,12,1,14,86,1,82.1017066661645
3,1,4,13,102,1,85.01359493203202
3,11,10,5,107,3,74.6825977021426
2,15,5,11,122,2,82.75990485155816
3,2,9,6,83,3,91.9011741945099
1,20,1,10,111,3,84.7259113107292
2,7,5,12,97,2,83.43015804590148
3,12,2,8,77,2,84.84121620404659
2,18,9,3,104,2,95.21079704433195
1,3,6,2,97,1,91.37872732394516
2,7,2,3,104,4,85.61745138956714
2,11,3,14,86,3,82.39777954432977
2,18,8,9,95,2,81.49392051704729
2,12,1,15,101,2,84.97
1,6,3,6,100,2,87.46560350989358
2,5,10,10,99,0,84.122579514186
2,1,1,12,117,1,91.5064492852655
3,12,8,4,92,0,83.60281941595377
2,11,1,10,96,4,80.88642474660597
3,4,5,3,92,1,85.44510145451251
1,18,4,13,119,3,75.94587707762476
1,4,7,2,94,0,87.16496473757289
1,17,5,15,107,2,79.77762533922535
1,2,8,14,90,1,86.10811987981944
3,2,1,4,112,0,93.4059361494151
2,12,5,9,95,2,84.24983934708412
1,6,4,4,91,2,87.39358117423235
2,10,3,13,100,2,81.9782928592432
3,16,5,12,95,3,89.54013472386933
3,14,10,5,116,1,86.12986457453756
3,7,3,15,71,1,82.8978449175351
1,19,8,8,107,3,75.855791659477
2,17,3,2,104,3,85.95069483875541
2,9,1,12,90,0,82.76427249795938
2,13,9,11,99,4,92.654586593389
3,5,9,14,90,5,74.7660869060583
1,5,6,3,94,1,89.70361162376707
3,10,10,6,100,0,85.79710789855667
3,10,1,12,97,2,83.21389695704453
2,7,8,7,113,0,93.15965726167435
3,15,2,4,109,5,89.72843118965368
2,7,9,14,106,0,80.91142460280317
1,15,8,15,115,3,79.9489368209206
2,3,3,1,93,2,89.51371088834995
1,19,5,7,113,3,90.23943196558236
2,10,9,12,104,1,82.10987429792168
3,15,1,9,90,3,90.2454479388687
3,3,9,1,113,2,93.11078366527416
1,6,4,14,93,1,87.91459692173603
1,12,4,1,113,1,88.4180107600795
1,15,4,1,83,1,93.28961142861417
2,6,10,10,110,0,85.10447660205753
2,13,9,7,74,4,87.99591799641382
1,19,6,11,99,3,83.72446970172544
3,3,8,9,90,3,84.14441742581772
2,8,4,3,101,3,86.53198678293455
2,8,3,8,110,1,79.31572212083881
2,20,1,9,98,5,90.58208694435744
1,15,10,3,75,2,88.51167068246096
1,4,7,12,110,2,80.24588088092368
1,19,4,12,90,4,77.75669978588766
1,3,8,3,104,3,82.84990380867787
1,13,3,15,105,2,86.80104757612507
3,8,1,1,94,1,82.86394933788326
3,16,5,2,103,3,88.54397987560557
1,13,2,7,106,1,77.36951836734214
2,3,3,3,99,3,84.97
1,16,6,7,122,1,87.13406387354608
3,9,3,5,115,1,82.03432693702794
3,14,3,10,100,1,81.84741569609963
2,13,6,8,103,1,90.296797209194
3,7,5,5,107,3,84.97
1,15,10,3,105,0,88.27766164693713
2,7,9,9,104,2,84.97
1,6,1,15,106,1,85.40460022484697
1,2,3,7,99,5,86.2650240538595
2,9,3,5,94,4,89.80549429195948
1,17,6,7,92,0,93.6374880427172
3,5,8,11,84,3,84.97
1,12,3,10,106,3,94.40172093693582
2,1,3,9,90,1,93.2178761528606
2,10,6,5,100,0,76.6935484657112
2,11,8,7,88,2,89.58408202500465
1,16,6,11,103,5,81.40663646149059
2,14,10,9,102,1,91.42968072085657
2,8,3,1,92,2,91.5682543009857
1,17,4,4,101,2,89.28287375813814
3,18,1,1,91,1,77.39428018202186
1,12,8,8,92,2,86.62012306297073
2,17,4,3,99,1,91.33135386022268
2,14,6,2,104,1,86.56855600273794
1,16,3,14,95,1,86.16205310098208
3,14,6,4,99,0,81.92141386571059
2,9,9,11,98,3,84.97
2,4,9,3,100,1,81.05539550139845
2,11,10,11,96,0,87.85638311320591
1,6,3,5,101,0,83.3836755750397
2,15,3,15,104,2,76.97914920022419
3,5,4,13,94,2,77.74926708750786
2,11,7,8,109,6,84.95214389556193
2,18,3,10,104,1,82.5711775445064
3,13,10,8,107,1,88.79683496381877
2,11,8,11,106,2,85.5882422562635
1,14,8,7,76,0,92.53927771895448
1,18,6,8,108,1,94.17778041720486
1,19,4,13,101,1,89.10369446648122
3,15,5,13,104,0,88.37785318887606
2,9,2,5,99,1,78.82499860048196
1,8,6,10,96,2,84.42820881506081
3,20,3,10,100,1,83.95966790349138
2,1,6,11,101,2,86.10453987099771
3,4,5,12,111,4,84.89033895923586
1,14,2,11,103,2,85.38368704536425
1,2,5,13,112,0,85.42874535778024
1,16,5,6,113,2,85.95961530755288
3,3,9,8,104,2,90.56528261357288
3,8,8,15,110,1,88.36431358365051
1,6,7,13,90,2,82.527894504419
3,16,3,1,100,5,78.78067323702783
1,16,10,6,92,3,79.14334291876787
1,7,4,6,92,2,83.23091207087744
2,13,6,15,89,1,93.00998505914514
3,13,3,11,94,4,86.97340799159215
1,5,9,13,96,2,89.25524086665708
1,20,8,5,101,0,80.33969602951076
3,18,6,4,105,1,82.76176368290776
2,15,4,1,128,2,87.68728443612154
2,18,7,11,70,3,85.25015874243091
1,2,3,10,98,0,89.56118085681865
3,10,10,11,91,2,82.76176222735948
2,13,8,8,95,5,88.92626061608657
3,18,1,6,105,5,76.49512953686887
3,15,3,3,102,5,88.25748364003123
1,12,5,12,93,1,84.97
2,15,5,3,111,1,87.1275011401245
1,13,10,12,97,2,90.72837772020964
2,18,2,6,115,1,81.37893833729198
2,15,10,12,107,3,90.6143526542228
2,11,8,15,94,0,80.28131119081665
2,19,5,7,112,1,87.5805923234808
2,3,7,8,104,3,91.11700377739967
3,7,7,5,97,1,79.00868000478894
1,14,5,10,108,1,80.76739077352352
3,14,8,6,111,1,78.92715716392372
2,13,9,12,110,3,74.69514334134601
1,12,4,1,96,1,93.42427581543195
2,9,4,6,108,2,89.47815842587276
1,1,8,9,119,2,80.47732983911575
3,19,1,10,88,1,83.54891796700477
1,11,4,4,100,2,74.97636802464093
1,19,6,14,106,2,80.61709923509339
1,18,4,14,131,3,91.71629035434133
1,12,6,10,103,3,74.24947678565321
1,1,5,13,113,6,77.73369775033069
2,19,9,1,98,2,86.12705625489774
1,20,10,14,98,2,88.80175181408904
1,17,9,11,98,3,80.14829023519654
3,5,4,9,90,1,79.65707030768885
1,3,4,4,99,2,82.27059623866519
3,2,8,2,118,0,82.80196648304084
2,3,10,1,96,1,69.80008606502355
1,8,4,3,108,0,84.23195770158902
3,16,2,7,103,2,77.95158923517938
3,6,2,11,92,2,81.49487558564073
2,13,1,10,102,1,87.6425593809923
1,16,5,2,107,5,81.14510194783263
1,16,6,15,101,0,83.6330627235354
3,3,9,9,116,0,83.30663564171837
1,13,5,12,105,2,77.88405637186072
3,14,6,13,101,3,85.08777872302505
1,8,6,11,105,0,88.50772310781133
3,12,3,2,107,4,88.81893659157714
1,8,4,5,100,0,82.5889548823597
2,9,1,8,109,3,80.99184271469065
1,1,4,13,97,2,85.99261480043576
1,6,1,13,114,0,95.76071447198998
2,19,5,12,116,2,87.67724656753454
1,11,8,10,115,2,85.18003196990998
2,11,8,8,99,3,83.25119971810817
1,13,5,3,114,1,81.6390957204668
3,11,10,2,103,2,74.34314158054546
3,18,2,9,91,4,85.03649746714349
1,15,6,3,100,0,80.04291186194803
1,1,1,8,107,1,84.12290539929637
1,7,7,2,83,3,86.68656929789383
3,13,4,3,86,1,92.72836442684589
1,12,5,1,94,2,78.90513003152117
3,18,6,14,108,1,80.61670942062844
2,19,1,11,111,3,90.36142893554522
3,15,9,6,92,1,80.60031418189017
3,8,10,13,118,3,83.1792482121762
2,19,4,7,106,3,79.36991883799244
3,10,8,4,92,2,91.64190132918768
1,7,5,1,85,2,86.7745323680016
1,18,8,3,102,2,80.2148723403572
3,16,1,9,96,2,91.18107055042888
1,20,8,5,94,3,93.0829314924488
3,6,4,6,100,2,78.22447971943787
1,9,2,4,86,3,90.43370398355992
1,13,6,1,102,1,86.07501339663492
3,8,2,14,93,0,77.20784976141768
1,16,5,5,97,4,84.5610361088341
3,13,2,5,96,0,85.89034032726538
1,13,3,5,96,2,75.80421413634103
1,17,6,15,100,3,95.96930080423718
2,20,1,6,102,0,81.95792273887965
2,5,6,11,100,3,87.10443339355902
3,17,3,2,98,4,84.56682625866256
2,9,7,1,90,2,83.63471869179068
3,2,2,15,91,6,82.08425460900004
2,18,6,2,92,1,85.59220517942578
1,9,8,13,93,1,79.51104449454866
3,6,1,10,87,4,85.01438959989571
3,11,9,6,103,0,77.07747107192908
1,6,5,5,89,1,89.48995739261738
3,6,5,15,91,3,82.0818478583627
3,13,5,5,96,2,84.97
2,11,6,12,105,2,87.5357921144095
3,14,2,12,96,3,91.81896563390887
1,2,6,15,109,1,94.03397115212128
2,8,4,6,102,1,89.66146489142362
2,3,8,14,99,1,78.93985702027622
1,3,9,10,107,1,91.7181885531709
1,1,9,7,96,2,80.27305840561851
2,19,8,9,98,3,84.97
3,18,3,7,119,1,82.74064189736696
2,17,10,2,111,4,87.12852161291562
1,20,4,6,109,4,96.66377585865672
2,13,1,9,87,3,83.77144652090102
1,3,9,7,102,2,99.1678845892331
2,1,5,2,104,0,89.31496978497441
3,4,6,3,87,1,82.64020313636676
2,13,3,8,79,3,89.68977302122413
2,17,10,11,85,1,79.97227856202468
1,11,8,9,89,1,82.68062603595327
1,2,7,4,115,1,81.11718226758418
1,16,1,9,107,0,88.32040112163618
2,2,10,2,98,1,90.85016559735053
3,19,5,13,101,2,85.3265006359824
1,19,10,11,96,1,83.61877912565238
1,16,9,5,97,5,83.80430652594515
2,19,6,11,114,3,75.84103572413852
1,9,8,2,103,2,84.97
3,1,10,11,95,1,85.37048665469922
3,10,1,1,119,3,95.965652666905
1,19,10,13,95,3,79.13408899556455
1,1,7,14,115,3,86.63053952852967
2,2,3,5,89,1,78.34680406228851
3,16,9,2,114,4,84.97
3,12,6,14,91,3,86.63146984449715
1,8,5,13,107,2,91.0118129949494
2,18,8,7,115,0,85.4806586269792
3,2,8,8,98,2,85.7323940807759
3,13,3,2,107,1,87.1076532583252
2,6,2,7,119,0,83.85393520684474
2,6,2,4,97,2,85.85950307333299
3,9,5,1,97,0,84.80105984273752
3,16,10,11,117,1,80.10226676752576
2,11,7,15,102,2,88.31928290713914
3,7,8,3,99,2,93.19189300730604
1,10,10,11,92,3,79.8258849713678
1,10,8,12,95,1,86.84119515102168
2,20,8,1,79,1,91.94565877951143
2,18,10,5,86,0,84.34881663121388
2,20,3,15,84,2,93.5166471500989
1,9,2,13,118,4,89.98338892386816
3,15,4,8,92,3,79.77194363673912
1,4,1,1,90,3,82.3419936684186
3,8,3,14,93,3,89.7357693492629
1,9,9,9,101,1,75.71160192712132
3,13,7,3,114,0,80.8507469658395
1,9,7,5,116,3,84.97
2,4,1,9,107,2,82.23323281961125
1,17,7,5,101,0,78.74866367035662
3,16,10,9,100,4,85.18705313218699
1,15,7,10,109,0,91.3064638431902
1,3,4,8,91,2,80.97307460953516
1,20,7,7,92,1,81.72024884170385
2,5,8,11,126,3,84.06945068088848
1,5,3,1,84,2,94.59133495149956
2,20,10,4,106,2,79.92401838327996
2,15,2,9,98,1,79.47947176590083
1,18,7,10,106,1,86.97283151153053
1,15,5,8,103,0,92.8160583703918
1,2,5,4,87,2,81.31824813484671
3,13,5,12,89,0,94.22142416320136
1,4,7,1,106,3,77.22731751051089
2,10,9,10,106,1,78.08076355351157
1,13,8,4,105,2,81.19703772550456
3,10,6,15,100,2,84.749601632767
1,9,7,3,98,2,83.40842890697483
3,8,9,6,107,2,84.97
3,3,6,11,92,0,73.52967903559545
1,16,1,5,95,1,85.03934473717516
2,14,4,5,86,4,83.88171622595387
3,9,8,2,116,3,84.94869949398904
1,11,7,12,82,2,84.97
1,3,3,3,92,2,83.23128670558684
2,5,10,11,110,3,84.3877533414035
3,10,3,6,88,6,82.43322173224918
